"SY","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","TOTAL_CNT","PK_CNT","K_CNT","G1_CNT","G2_CNT","G3_CNT","G4_CNT","G5_CNT","G6_CNT","G7_CNT","G8_CNT","G9_CNT","G10_CNT","G11_CNT","G12_CNT","SP_CNT","AIAN_PCT","AS_PCT","BAA_PCT","HL_PCT","MNHL_PCT","NHPI_PCT","WH_PCT","FE_PCT","MA_PCT","NB_PCT","EL_CNT","EL_PCT","FLNE_CNT","FLNE_PCT","HN_CNT","HN_PCT","LI_CNT","LI_PCT","ECD_CNT","ECD_PCT","SWD_CNT","SWD_PCT"
"2026","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","436","83","42","38","46","38","40","34","43","39","33","0","0","0","0","0","0%","0%","17.9%","58.7%","7.8%","0%","15.6%","55.7%","44.3%","0%","19","4.4%","45","10.3%","214","49.1%","192","44%",,,"45","10.3%"
"2026","02810000","Springfield","02810175","Alice B Beal Elementary","School","304","33","57","50","38","40","43","43","0","0","0","0","0","0","0","0","0%","6.9%","17.1%","58.6%","5.3%","0%","12.2%","44.7%","55.3%","0%","81","26.6%","97","31.9%","253","83.2%","233","76.6%",,,"64","21.1%"
"2026","02810000","Springfield","02810165","Arthur T Talmadge","School","188","18","25","26","35","34","27","23","0","0","0","0","0","0","0","0","0%","5.9%","13.8%","66%","6.4%","0%","8%","47.9%","52.1%","0%","24","12.8%","30","16%","166","88.3%","160","85.1%",,,"55","29.3%"
"2026","02810000","Springfield","02810003","Balliet Preschool","School","113","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%","1.8%","17.7%","61.9%","8%","0%","10.6%","39.8%","60.2%","0%","9","8%","15","13.3%","91","80.5%","81","71.7%",,,"39","34.5%"
"2026","02810000","Springfield","02810085","Benjamin Swan Elementary","School","506","55","108","77","59","62","74","71","0","0","0","0","0","0","0","0","0.2%","0.6%","20%","70.4%","6.5%","0%","2.4%","46%","54%","0%","119","23.5%","140","27.7%","475","93.9%","454","89.7%",,,"136","26.9%"
"2026","02810000","Springfield","02810025","Brightwood","School","457","52","69","58","79","57","73","69","0","0","0","0","0","0","0","0","0%","0%","6.8%","89.9%","0.9%","0%","2.4%","53.2%","46.8%","0%","115","25.2%","139","30.4%","443","96.9%","424","92.8%",,,"121","26.5%"
"2026","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","291","0","0","0","0","0","0","0","108","96","87","0","0","0","0","0","0%","2.7%","19.9%","63.9%","4.5%","0%","8.9%","38.8%","61.2%","0%","5","1.7%","77","26.5%","231","79.4%","208","71.5%",,,"86","29.6%"
"2026","02810000","Springfield","02810475","Conservatory of the Arts","School","292","0","0","0","0","0","0","0","51","43","47","40","41","29","41","0","0%","0%","17.5%","70.5%","1.7%","0%","10.3%","69.9%","30.1%","0%","22","7.5%","72","24.7%","248","84.9%","235","80.5%",,,"82","28.1%"
"2026","02810000","Springfield","02810035","Daniel B Brunton","School","310","43","55","56","48","43","31","34","0","0","0","0","0","0","0","0","0%","1.3%","19.4%","54.2%","4.8%","0.3%","20%","49.4%","50.6%","0%","46","14.8%","54","17.4%","266","85.8%","244","78.7%",,,"92","29.7%"
"2026","02810000","Springfield","02810001","Early Childhood Education Center","School","170","170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%","1.2%","18.8%","68.2%","7.1%","0%","4.1%","46.5%","53.5%","0%","28","16.5%","55","32.4%","156","91.8%","148","87.1%",,,"59","34.7%"
"2026","02810000","Springfield","02810010","Edward P. Boland School","School","553","113","62","79","82","77","67","73","0","0","0","0","0","0","0","0","0%","2.2%","10.3%","76.7%","3.8%","0.2%","6.9%","42%","57.9%","0.2%","138","25%","194","35.1%","524","94.8%","491","88.8%",,,"194","35.1%"
"2026","02810000","Springfield","02810030","Elias Brookings","School","291","63","29","38","46","27","51","37","0","0","0","0","0","0","0","0","0.3%","0.7%","23.4%","69.4%","2.7%","0%","3.4%","50.9%","49.1%","0%","80","27.5%","102","35.1%","270","92.8%","254","87.3%",,,"103","35.4%"
"2026","02810000","Springfield","02810318","Emergence Academy","School","376","0","0","0","0","0","0","0","31","60","71","37","86","53","38","0","0.3%","2.1%","36.7%","41.8%","3.7%","0%","15.4%","48.1%","51.6%","0.3%","370","98.4%","376","100%","376","100%","348","92.6%",,,"21","5.6%"
"2026","02810000","Springfield","02810325","Forest Park Middle","School","460","0","0","0","0","0","0","0","134","164","162","0","0","0","0","0","0.2%","2.6%","20.4%","66.3%","2.4%","0%","8%","50.2%","49.8%","0%","86","18.7%","176","38.3%","428","93%","408","88.7%",,,"145","31.5%"
"2026","02810000","Springfield","02810075","Frank H Freedman","School","280","34","68","40","40","35","29","34","0","0","0","0","0","0","0","0","0.4%","2.9%","14.6%","62.5%","8.9%","0%","10.7%","47.5%","52.5%","0%","42","15%","51","18.2%","231","82.5%","213","76.1%",,,"68","24.3%"
"2026","02810000","Springfield","02810080","Frederick Harris","School","566","116","94","73","73","70","73","67","0","0","0","0","0","0","0","0","0.7%","4.1%","21%","54.6%","6.9%","0%","12.7%","50.9%","49.1%","0%","108","19.1%","132","23.3%","447","79%","399","70.5%",,,"157","27.7%"
"2026","02810000","Springfield","02810575","Gateway to College at Holyoke Community College","School","28","0","0","0","0","0","0","0","0","0","0","2","4","7","15","0","0%","0%","14.3%","75%","0%","0%","10.7%","53.6%","42.9%","3.6%","1","3.6%","4","14.3%","24","85.7%","23","82.1%",,,"6","21.4%"
"2026","02810000","Springfield","02810580","Gateway to College at Springfield Technical Community College","School","30","0","0","0","0","0","0","0","0","0","0","0","3","9","18","0","0%","0%","20%","66.7%","3.3%","0%","10%","83.3%","16.7%","0%","1","3.3%","4","13.3%","24","80%","21","70%",,,"4","13.3%"
"2026","02810000","Springfield","02810195","German Gerena Community School","School","599","97","62","76","86","99","88","91","0","0","0","0","0","0","0","0","0.2%","1.7%","13.2%","78.5%","3.8%","0%","2.7%","50.4%","49.6%","0%","171","28.5%","209","34.9%","541","90.3%","500","83.5%",,,"167","27.9%"
"2026","02810000","Springfield","02810065","Glenwood","School","296","20","44","37","58","54","51","32","0","0","0","0","0","0","0","0","0.3%","1.4%","9.5%","76.4%","4.4%","0%","8.1%","48.3%","51.7%","0%","81","27.4%","96","32.4%","267","90.2%","248","83.8%",,,"75","25.3%"
"2026","02810000","Springfield","02810068","Glickman Elementary","School","320","30","47","48","50","38","58","49","0","0","0","0","0","0","0","0","0.3%","0.9%","20.9%","63.1%","5.3%","0%","9.4%","44.1%","55.9%","0%","62","19.4%","75","23.4%","291","90.9%","273","85.3%",,,"94","29.4%"
"2026","02810000","Springfield","02810510","High School Of Commerce","School","835","0","0","0","0","0","0","0","0","0","0","189","200","219","227","0","0.2%","1.3%","18.9%","69.7%","2.9%","0%","6.9%","46.9%","52.7%","0.4%","84","10.1%","228","27.3%","721","86.3%","691","82.8%",,,"255","30.5%"
"2026","02810000","Springfield","02810050","Hiram L Dorman","School","257","26","37","33","53","38","41","29","0","0","0","0","0","0","0","0","0%","2.7%","15.2%","69.3%","5.1%","0%","7.8%","52.5%","47.5%","0%","41","16%","49","19.1%","231","89.9%","221","86%",,,"70","27.2%"
"2026","02810000","Springfield","02810366","Impact Prep at Chestnut","School","314","0","0","0","0","0","0","0","94","146","74","0","0","0","0","0","0%","0.6%","11.5%","79.3%","3.2%","0%","5.4%","50%","50%","0%","12","3.8%","44","14%","297","94.6%","287","91.4%",,,"120","38.2%"
"2026","02810000","Springfield","02810100","Indian Orchard Elementary","School","556","78","93","68","72","101","79","65","0","0","0","0","0","0","0","0","0%","0.5%","19.8%","66.7%","6.1%","0%","6.8%","49.5%","50.5%","0%","97","17.4%","132","23.7%","519","93.3%","487","87.6%",,,"167","30%"
"2026","02810000","Springfield","02810328","John F Kennedy Middle","School","365","0","0","0","0","0","0","0","131","120","114","0","0","0","0","0","0.5%","0%","18.1%","69%","3.6%","0%","8.8%","47.1%","52.9%","0%","26","7.1%","76","20.8%","337","92.3%","328","89.9%",,,"128","35.1%"
"2026","02810000","Springfield","02810320","John J Duggan Academy","School","843","0","0","0","0","0","0","0","188","177","171","100","79","66","62","0","0.2%","2.7%","23.1%","58.7%","3.4%","0%","11.7%","45.8%","54.1%","0.1%","58","6.9%","178","21.1%","672","79.7%","620","73.5%",,,"217","25.7%"
"2026","02810000","Springfield","02810110","Kensington International School","School","252","34","43","33","40","38","42","22","0","0","0","0","0","0","0","0","0.4%","2%","20.2%","72.2%","2.8%","0%","2.4%","46.8%","53.2%","0%","84","33.3%","103","40.9%","241","95.6%","233","92.5%",,,"57","22.6%"
"2026","02810000","Springfield","02810316","Kiley Academy","School","253","0","0","0","0","0","0","0","86","82","85","0","0","0","0","0","0.8%","2.8%","20.6%","62.5%","3.6%","0%","9.9%","48.6%","51.4%","0%","16","6.3%","61","24.1%","228","90.1%","213","84.2%",,,"92","36.4%"
"2026","02810000","Springfield","02810315","Kiley Prep","School","314","0","0","0","0","0","0","0","106","110","98","0","0","0","0","0","0%","1%","22.3%","64.6%","3.2%","0%","8.9%","46.8%","53.2%","0%","27","8.6%","86","27.4%","292","93%","278","88.5%",,,"121","38.5%"
"2026","02810000","Springfield","02810115","Liberty","School","248","36","39","26","36","35","36","40","0","0","0","0","0","0","0","0","0%","0.8%","12.9%","75.4%","4%","0%","6.9%","51.2%","48.8%","0%","60","24.2%","73","29.4%","228","91.9%","215","86.7%",,,"37","14.9%"
"2026","02810000","Springfield","02810120","Lincoln","School","420","51","63","49","56","65","70","66","0","0","0","0","0","0","0","0","0%","0.2%","11.9%","82.1%","2.1%","0%","3.6%","47.6%","52.4%","0%","148","35.2%","170","40.5%","401","95.5%","388","92.4%",,,"114","27.1%"
"2026","02810000","Springfield","02810060","Margaret C Ells","School","128","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%","1.6%","17.2%","69.5%","5.5%","0%","6.3%","42.2%","57%","0.8%","17","13.3%","29","22.7%","121","94.5%","112","87.5%",,,"55","43%"
"2026","02810000","Springfield","02810125","Mary A. Dryden Veterans Memorial School","School","298","37","59","50","38","39","40","35","0","0","0","0","0","0","0","0","0%","6.7%","18.1%","55.4%","6.7%","0.3%","12.8%","48%","52%","0%","49","16.4%","66","22.1%","243","81.5%","208","69.8%",,,"70","23.5%"
"2026","02810000","Springfield","02810140","Mary M Lynch","School","219","20","24","37","35","37","33","33","0","0","0","0","0","0","0","0","0%","1.8%","19.2%","66.7%","5.5%","0%","6.8%","52.1%","47.9%","0%","18","8.2%","30","13.7%","196","89.5%","190","86.8%",,,"43","19.6%"
"2026","02810000","Springfield","02810155","Mary M Walsh","School","235","25","43","35","37","33","34","28","0","0","0","0","0","0","0","0","0.4%","0.4%","16.2%","65.1%","3.8%","0%","14%","46.4%","53.6%","0%","56","23.8%","79","33.6%","196","83.4%","177","75.3%",,,"69","29.4%"
"2026","02810000","Springfield","02810145","Mary O Pottenger","School","368","46","62","60","48","52","55","45","0","0","0","0","0","0","0","0","0%","0.5%","13%","78.8%","1.6%","0%","6%","52.4%","47.6%","0%","47","12.8%","69","18.8%","324","88%","307","83.4%",,,"86","23.4%"
"2026","02810000","Springfield","02810023","Milton Bradley School","School","377","56","58","45","54","62","49","53","0","0","0","0","0","0","0","0","0.3%","0.5%","21%","70.6%","3.4%","0%","4.2%","48%","52%","0%","84","22.3%","115","30.5%","362","96%","348","92.3%",,,"124","32.9%"
"2026","02810000","Springfield","02810055","Rebecca M Johnson","School","613","76","91","77","83","95","100","91","0","0","0","0","0","0","0","0","0%","0%","21%","70.8%","2.9%","0%","5.2%","42.6%","57.4%","0%","138","22.5%","179","29.2%","589","96.1%","564","92%",,,"208","33.9%"
"2026","02810000","Springfield","02810620","Roger L. Putnam Vocational Technical Academy","School","1,377","0","0","0","0","0","0","0","0","0","0","368","347","341","321","0","0.1%","2.5%","18.6%","69.9%","2.8%","0%","6.1%","55%","45%","0%","107","7.8%","481","34.9%","1,083","78.6%","1,023","74.3%",,,"226","16.4%"
"2026","02810000","Springfield","02810350","STEM Middle Academy","School","241","0","0","0","0","0","0","0","80","77","84","0","0","0","0","0","0.4%","3.7%","13.3%","65.6%","3.7%","0%","13.3%","45.2%","54.8%","0%","31","12.9%","89","36.9%","210","87.1%","201","83.4%",,,"59","24.5%"
"2026","02810000","Springfield","02810020","Samuel Bowles","School","314","35","44","54","64","39","35","43","0","0","0","0","0","0","0","0","1%","1.3%","13.4%","71%","3.8%","0%","9.6%","45.9%","54.1%","0%","53","16.9%","73","23.2%","267","85%","241","76.8%",,,"78","24.8%"
"2026","02810000","Springfield","02810355","South End Middle School","School","176","0","0","0","0","0","0","0","50","62","64","0","0","0","0","0","0%","0%","19.9%","70.5%","4%","0%","5.7%","52.3%","47.7%","0%","20","11.4%","59","33.5%","172","97.7%","165","93.8%",,,"54","30.7%"
"2026","02810000","Springfield","02810000","Springfield","District","23,574","2,036","1,761","1,629","1,708","1,659","1,676","1,543","1,455","1,522","1,499","1,951","1,794","1,549","1,673","119","0.1%","1.8%","18.4%","68.1%","3.8%","0%","7.8%","48.2%","51.7%","0.1%","4,364","18.5%","7,106","30.1%","20,917","88.2%","19,539","82.9%",,,"6,566","27.7%"
"2026","02810000","Springfield","02810500","Springfield Central High","School","2,015","0","0","0","0","0","0","0","0","0","0","662","505","374","474","0","0%","2.2%","23.6%","65%","3.2%","0%","5.9%","45.3%","54.4%","0.3%","291","14.4%","618","30.7%","1,664","82.6%","1,582","78.5%",,,"455","22.6%"
"2026","02810000","Springfield","02810570","Springfield High School","School","312","0","0","0","0","0","0","0","0","0","0","68","56","51","137","0","0%","0%","19.6%","74%","1.6%","0%","4.8%","40.1%","59.6%","0.3%","33","10.6%","69","22.1%","277","88.8%","255","81.7%",,,"94","30.1%"
"2026","02810000","Springfield","02810530","Springfield High School of Science and Technology","School","1,147","0","0","0","0","0","0","0","0","0","0","321","319","276","231","0","0%","0.7%","18.7%","68.2%","3.6%","0%","8.8%","47.3%","52.2%","0.4%","203","17.7%","370","32.3%","1,039","90.6%","985","85.9%",,,"301","26.2%"
"2026","02810000","Springfield","02810215","Springfield International Academy at Johnson","School","36","0","0","0","0","7","7","22","0","0","0","0","0","0","0","0","0%","0%","58.3%","33.3%","2.8%","0%","5.6%","47.2%","52.8%","0%","36","100%","36","100%","36","100%","34","94.4%",,,"1","2.8%"
"2026","02810000","Springfield","02810700","Springfield International Academy at Sci-Tech","School","52","0","0","0","0","0","0","0","0","0","0","1","25","17","9","0","0%","0%","30.8%","48.1%","0%","0%","21.2%","42.3%","57.7%","0%","52","100%","52","100%","52","100%","49","94.2%",,,"0","0%"
"2026","02810000","Springfield","02810317","Springfield Legacy Academy","School","243","0","0","0","0","0","0","0","68","62","113","0","0","0","0","0","0%","0%","3.3%","94.2%","0.4%","0%","2.1%","47.3%","52.7%","0%","107","44%","182","74.9%","241","99.2%","224","92.2%",,,"83","34.2%"
"2026","02810000","Springfield","02810360","Springfield Middle School","School","15","0","0","0","0","0","0","0","0","2","13","0","0","0","0","0","0%","0%","13.3%","73.3%","13.3%","0%","0%","40%","60%","0%","2","13.3%","2","13.3%","15","100%","15","100%",,,"5","33.3%"
"2026","02810000","Springfield","02810005","Springfield Public Day Elementary School","School","36","0","1","4","8","7","6","10","0","0","0","0","0","0","0","0","2.8%","0%","19.4%","63.9%","5.6%","0%","8.3%","13.9%","86.1%","0%","1","2.8%","1","2.8%","36","100%","31","86.1%",,,"32","88.9%"
"2026","02810000","Springfield","02810550","Springfield Public Day High School","School","58","0","0","0","0","0","0","0","0","0","0","29","17","9","3","0","0%","0%","17.2%","69%","0%","0%","13.8%","25.9%","74.1%","0%","8","13.8%","10","17.2%","58","100%","56","96.6%",,,"58","100%"
"2026","02810000","Springfield","02810345","Springfield Public Day Middle School","School","45","0","0","0","0","0","0","0","8","19","18","0","0","0","0","0","0%","0%","15.6%","64.4%","8.9%","0%","11.1%","33.3%","66.7%","0%","6","13.3%","10","22.2%","45","100%","44","97.8%",,,"44","97.8%"
"2026","02810000","Springfield","02810675","Springfield Transition Academy","School","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","119","0%","6.7%","17.6%","67.2%","0%","0%","8.4%","37.8%","62.2%","0%","6","5%","53","44.5%","119","100%","112","94.1%",,,"119","100%"
"2026","02810000","Springfield","02810160","Sumner Avenue","School","554","95","72","97","98","71","69","52","0","0","0","0","0","0","0","0","0%","3.2%","19.7%","65.7%","3.1%","0%","8.3%","46.4%","53.4%","0.2%","157","28.3%","190","34.3%","515","93%","479","86.5%",,,"153","27.6%"
"2026","02810000","Springfield","02810205","The Springfield Renaissance School an Expeditionary Learning School","School","596","0","0","0","0","0","0","0","89","91","86","102","85","69","74","0","0%","2%","17.4%","66.6%","2.3%","0%","11.6%","50.2%","49.8%","0%","39","6.5%","153","25.7%","498","83.6%","464","77.9%",,,"154","25.8%"
"2026","02810000","Springfield","02810705","The Springfield Virtual School","School","201","0","0","0","0","0","9","5","25","29","22","32","27","29","23","0","0%","0%","11.9%","78.1%","2%","0%","8%","49.3%","50.7%","0%","26","12.9%","60","29.9%","182","90.5%","168","83.6%",,,"84","41.8%"
"2026","02810000","Springfield","02810015","Thomas M Balliet","School","283","32","48","45","36","40","39","43","0","0","0","0","0","0","0","0","0%","3.2%","20.1%","63.6%","6.4%","0%","6.7%","50.2%","49.8%","0%","54","19.1%","59","20.8%","240","84.8%","227","80.2%",,,"45","15.9%"
"2026","02810000","Springfield","02810485","Van Sickle Academy","School","256","0","0","0","0","0","0","0","94","73","89","0","0","0","0","0","0%","2%","9.4%","76.6%","2.7%","0%","9.4%","46.1%","53.9%","0%","22","8.6%","60","23.4%","232","90.6%","219","85.5%",,,"98","38.3%"
"2026","02810000","Springfield","02810480","Van Sickle Prep","School","207","0","0","0","0","0","0","0","69","70","68","0","0","0","0","0","0%","0.5%","20.3%","69.1%","4.3%","0%","5.8%","45.4%","54.6%","0%","28","13.5%","55","26.6%","195","94.2%","183","88.4%",,,"68","32.9%"
"2026","02810000","Springfield","02810180","Warner","School","251","50","33","33","38","40","26","31","0","0","0","0","0","0","0","0","0%","1.6%","22.3%","61.8%","8%","0%","6.4%","52.6%","47.4%","0%","40","15.9%","53","21.1%","218","86.9%","203","80.9%",,,"55","21.9%"
"2026","02810000","Springfield","02810185","Washington","School","424","93","57","60","49","60","66","39","0","0","0","0","0","0","0","0","0%","4%","17.2%","66%","4.7%","0%","8%","52.1%","47.9%","0%","106","25%","138","32.5%","399","94.1%","371","87.5%",,,"124","29.2%"
"2026","02810000","Springfield","02810190","White Street","School","377","18","78","48","50","64","58","61","0","0","0","0","0","0","0","0","0%","2.7%","16.2%","73.5%","2.1%","0%","5.6%","47.5%","52.5%","0%","131","34.7%","153","40.6%","357","94.7%","338","89.7%",,,"70","18.6%"
"2026","02810000","Springfield","02810045","William N. DeBerry","School","478","60","54","79","73","62","77","73","0","0","0","0","0","0","0","0","0.2%","0.2%","22%","69.7%","4.2%","0%","3.8%","51%","49%","0%","135","28.2%","170","35.6%","460","96.2%","446","93.3%",,,"117","24.5%"
"2025","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","432","70","37","48","40","40","42","45","42","36","32","0","0","0","0","0","0%","0%","19%","58.3%","7.2%","0%","15.5%","54.6%","45.4%","0%","22","5.1%","45","10.4%","222","51.4%","199","46.1%",,,"44","10.2%"
"2025","02810000","Springfield","02810175","Alice B Beal Elementary","School","292","33","46","45","45","47","44","32","0","0","0","0","0","0","0","0","0.3%","6.8%","17.1%","56.2%","5.8%","0%","13.7%","44.9%","55.1%","0%","71","24.3%","84","28.8%","247","84.6%","225","77.1%",,,"62","21.2%"
"2025","02810000","Springfield","02810165","Arthur T Talmadge","School","196","19","24","29","36","25","27","36","0","0","0","0","0","0","0","0","0%","4.1%","13.3%","65.8%","7.1%","0%","9.7%","50%","50%","0%","24","12.2%","30","15.3%","178","90.8%","172","87.8%",,,"55","28.1%"
"2025","02810000","Springfield","02810003","Balliet Preschool","School","99","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%","2%","17.2%","68.7%","8.1%","0%","4%","46.5%","53.5%","0%","15","15.2%","18","18.2%","88","88.9%","78","78.8%",,,"41","41.4%"
"2025","02810000","Springfield","02810085","Benjamin Swan Elementary","School","486","53","72","80","72","66","75","68","0","0","0","0","0","0","0","0","0%","1%","20.6%","69.3%","6%","0%","3.1%","47.9%","52.1%","0%","111","22.8%","134","27.6%","452","93%","439","90.3%",,,"118","24.3%"
"2025","02810000","Springfield","02810025","Brightwood","School","456","54","59","75","55","70","73","70","0","0","0","0","0","0","0","0","0%","0.4%","7.7%","88.4%","1.3%","0%","2.2%","52%","48%","0%","122","26.8%","143","31.4%","441","96.7%","428","93.9%",,,"132","28.9%"
"2025","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","265","0","0","0","0","0","0","0","93","93","79","0","0","0","0","0","0%","2.6%","23.8%","59.2%","4.5%","0%","9.8%","43.4%","56.6%","0%","11","4.2%","62","23.4%","210","79.2%","196","74%",,,"80","30.2%"
"2025","02810000","Springfield","02810475","Conservatory of the Arts","School","296","0","0","0","0","0","0","0","48","49","44","42","31","44","38","0","0%","0.3%","18.2%","69.3%","1.7%","0%","10.5%","69.6%","30.1%","0.3%","18","6.1%","65","22%","256","86.5%","239","80.7%",,,"79","26.7%"
"2025","02810000","Springfield","02810035","Daniel B Brunton","School","314","53","49","63","40","37","31","41","0","0","0","0","0","0","0","0","0%","2.9%","19.4%","50.3%","6.1%","0.3%","21%","51.3%","48.7%","0%","43","13.7%","55","17.5%","275","87.6%","259","82.5%",,,"88","28%"
"2025","02810000","Springfield","02810001","Early Childhood Education Center","School","165","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%","0.6%","21.2%","70.9%","4.2%","0%","3%","45.5%","54.5%","0%","40","24.2%","50","30.3%","158","95.8%","150","90.9%",,,"77","46.7%"
"2025","02810000","Springfield","02810010","Edward P. Boland School","School","587","121","78","85","77","74","82","70","0","0","0","0","0","0","0","0","0%","1.5%","10.4%","79.4%","3.1%","0.2%","5.5%","45.1%","54.9%","0%","163","27.8%","212","36.1%","559","95.2%","525","89.4%",,,"220","37.5%"
"2025","02810000","Springfield","02810030","Elias Brookings","School","304","58","43","48","28","49","38","40","0","0","0","0","0","0","0","0","0%","0.7%","22.7%","69.7%","2%","0%","4.9%","51%","49%","0%","75","24.7%","93","30.6%","293","96.4%","284","93.4%",,,"108","35.5%"
"2025","02810000","Springfield","02810318","Emergence Academy","School","382","0","0","0","0","0","0","0","44","71","71","83","67","46","0","0","0.3%","1%","29.6%","49.5%","3.9%","0%","15.7%","51.3%","48.4%","0.3%","377","98.7%","382","100%","382","100%","354","92.7%",,,"23","6%"
"2025","02810000","Springfield","02810325","Forest Park Middle","School","282","0","0","0","0","0","0","0","100","92","90","0","0","0","0","0","0.4%","2.5%","21.6%","66%","1.4%","0.4%","7.8%","51.4%","48.6%","0%","22","7.8%","54","19.1%","264","93.6%","253","89.7%",,,"115","40.8%"
"2025","02810000","Springfield","02810075","Frank H Freedman","School","252","38","46","35","36","27","34","36","0","0","0","0","0","0","0","0","0.4%","2.8%","15.9%","62.7%","7.1%","0%","11.1%","49.6%","50.4%","0%","33","13.1%","44","17.5%","208","82.5%","190","75.4%",,,"57","22.6%"
"2025","02810000","Springfield","02810080","Frederick Harris","School","570","121","82","67","83","68","70","79","0","0","0","0","0","0","0","0","0.9%","4.6%","20.5%","54.6%","7%","0%","12.5%","50%","50%","0%","105","18.4%","137","24%","461","80.9%","420","73.7%",,,"160","28.1%"
"2025","02810000","Springfield","02810575","Gateway to College at Holyoke Community College","School","21","0","0","0","0","0","0","0","0","0","0","0","7","6","8","0","0%","0%","19%","57.1%","4.8%","0%","19%","71.4%","23.8%","4.8%","0","0%","3","14.3%","18","85.7%","15","71.4%",,,"2","9.5%"
"2025","02810000","Springfield","02810580","Gateway to College at Springfield Technical Community College","School","25","0","0","0","0","0","0","0","0","0","0","1","3","13","8","0","0%","0%","32%","64%","4%","0%","0%","84%","16%","0%","0","0%","1","4%","19","76%","19","76%",,,"2","8%"
"2025","02810000","Springfield","02810195","German Gerena Community School","School","621","98","66","94","92","91","93","87","0","0","0","0","0","0","0","0","0.2%","0.3%","13.2%","77.9%","5.2%","0%","3.2%","50.6%","49.4%","0%","174","28%","211","34%","560","90.2%","528","85%",,,"176","28.3%"
"2025","02810000","Springfield","02810065","Glenwood","School","275","17","31","55","44","48","35","45","0","0","0","0","0","0","0","0","0.4%","0.4%","8%","76.4%","6.2%","0%","8.7%","47.3%","52.7%","0%","73","26.5%","91","33.1%","248","90.2%","233","84.7%",,,"64","23.3%"
"2025","02810000","Springfield","02810068","Glickman Elementary","School","310","31","46","40","36","59","49","49","0","0","0","0","0","0","0","0","0.3%","1%","14.5%","67.7%","5.2%","0%","11.3%","48.7%","51.3%","0%","61","19.7%","75","24.2%","274","88.4%","260","83.9%",,,"99","31.9%"
"2025","02810000","Springfield","02810510","High School Of Commerce","School","966","0","0","0","0","0","0","0","0","0","0","203","234","244","285","0","0.1%","1.2%","17.6%","70.6%","2.1%","0%","8.4%","45.7%","53.6%","0.7%","114","11.8%","271","28.1%","831","86%","803","83.1%",,,"267","27.6%"
"2025","02810000","Springfield","02810050","Hiram L Dorman","School","279","28","32","46","45","41","37","50","0","0","0","0","0","0","0","0","0%","2.5%","13.6%","71.7%","4.3%","0%","7.9%","48.4%","51.6%","0%","46","16.5%","61","21.9%","264","94.6%","253","90.7%",,,"82","29.4%"
"2025","02810000","Springfield","02810366","Impact Prep at Chestnut","School","278","0","0","0","0","0","0","0","135","76","67","0","0","0","0","0","0%","0%","11.9%","78.8%","3.2%","0%","6.1%","46.8%","53.2%","0%","9","3.2%","46","16.5%","262","94.2%","251","90.3%",,,"99","35.6%"
"2025","02810000","Springfield","02810100","Indian Orchard Elementary","School","580","83","79","84","97","86","71","80","0","0","0","0","0","0","0","0","0.3%","0.5%","21.7%","63.8%","6.2%","0%","7.4%","48.4%","51.6%","0%","90","15.5%","124","21.4%","540","93.1%","508","87.6%",,,"167","28.8%"
"2025","02810000","Springfield","02810328","John F Kennedy Middle","School","366","0","0","0","0","0","0","0","142","106","118","0","0","0","0","0","0.3%","0%","20.8%","71%","2.7%","0%","5.2%","49.7%","50.3%","0%","27","7.4%","70","19.1%","344","94%","334","91.3%",,,"123","33.6%"
"2025","02810000","Springfield","02810320","John J Duggan Academy","School","823","0","0","0","0","0","0","0","171","172","181","91","71","72","65","0","0.1%","2.8%","22.8%","59.4%","3.6%","0%","11.2%","43.7%","56%","0.2%","59","7.2%","164","19.9%","654","79.5%","597","72.5%",,,"208","25.3%"
"2025","02810000","Springfield","02810110","Kensington International School","School","278","33","40","47","37","51","28","42","0","0","0","0","0","0","0","0","0.4%","1.4%","20.9%","69.4%","5%","0%","2.9%","47.5%","52.5%","0%","90","32.4%","106","38.1%","268","96.4%","260","93.5%",,,"61","21.9%"
"2025","02810000","Springfield","02810316","Kiley Academy","School","268","0","0","0","0","0","0","0","89","80","99","0","0","0","0","0","0.4%","1.9%","20.1%","61.9%","4.5%","0%","11.2%","49.3%","50.7%","0%","24","9%","53","19.8%","243","90.7%","231","86.2%",,,"96","35.8%"
"2025","02810000","Springfield","02810315","Kiley Prep","School","298","0","0","0","0","0","0","0","107","90","101","0","0","0","0","0","0.3%","2%","25.5%","59.4%","3.4%","0%","9.4%","44.6%","55.4%","0%","22","7.4%","67","22.5%","274","91.9%","263","88.3%",,,"95","31.9%"
