"SY","ATTEND_PERIOD","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","STU_GRP","ATTEND_RATE","CNT_AVG_ABS","PCT_ABS_10_DAYS","PCT_CHRON_ABS_10","PCT_CHRON_ABS_20","PCT_UNEXC_10_DAYS","DISTRICT_AND_SCHOOL"
"2026","March","02810000","Springfield","02810165","Arthur T Talmadge","School","White","95.2%","5.1","20%","13.3%","0%","6.7%","Springfield - Arthur T Talmadge"
"2026","March","02810000","Springfield","02810165","Arthur T Talmadge","School","High Needs","93%","7.4","25.8%","23.3%","2.5%","19.6%","Springfield - Arthur T Talmadge"
"2026","March","02810000","Springfield","02810165","Arthur T Talmadge","School","English Learners","93.3%","7","24%","24%","4%","16%","Springfield - Arthur T Talmadge"
"2026","March","02810000","Springfield","02810165","Arthur T Talmadge","School","Low Income","93%","7.4","25.5%","22.9%","2.5%","19.1%","Springfield - Arthur T Talmadge"
"2026","March","02810000","Springfield","02810165","Arthur T Talmadge","School","Students with Disabilities","92.2%","8.3","32.7%","32.7%","3.6%","25.5%","Springfield - Arthur T Talmadge"
"2026","March","02810000","Springfield","02810165","Arthur T Talmadge","School","Female","93.7%","6.6","22.7%","17%","1.1%","14.8%","Springfield - Arthur T Talmadge"
"2026","March","02810000","Springfield","02810165","Arthur T Talmadge","School","Male","92.7%","7.7","28.1%","27.1%","3.1%","19.8%","Springfield - Arthur T Talmadge"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","All Students","89.6%","9.9","37.5%","37.5%","15.6%","32.8%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","Asian",,,,,,,"Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","Black or African American","90.7%","8.9","25%","29.2%","12.5%","25%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","Hispanic or Latino","88.4%","11","44.9%","46.2%","17.9%","38.5%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","Multi-Race, Not Hispanic or Latino","96.3%","3.6","0%","0%","0%","0%","Springfield - Balliet Preschool"
"2026","March","02810000","Springfield","02810003","Balliet Preschool","School","White","89.7%","9.9","35.7%","28.6%","21.4%","35.7%","Springfield - Balliet Preschool"
