"SY","DIST_CODE","DIST_NAME","IND_CAT","IND_SUBCAT","IND_VALUE","IND_VALUE_TYPE"
"2022","02810000","Springfield","Student Demographics","Low-Income % Headcount","87.4","Percent"
"2022","02810000","Springfield","Student Demographics","Student Headcount","23,799","Count"
"2022","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","24.7","Percent"
"2022","02810000","Springfield","Teacher Salaries","Average Teacher Salary","76,265","Amount"
"2022","02810000","Springfield","Teacher Salaries","Teacher FTE","2,238.3","Count"
"2022","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","9.3","Count"
"2022","02810000","Springfield","Other Staff","Instructional Coach FTE","79","Count"
"2022","02810000","Springfield","Other Staff","Instructional Support FTE","158","Count"
"2022","02810000","Springfield","Other Staff","Paraprofessional FTE","700","Count"
"2022","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","15","Count"
"2022","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","32.8","Percent"
"2022","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","20.2","Percent"
"2022","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","18.7","Percent"
"2022","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","14.6","Percent"
"2022","02810000","Springfield","Expenditures Per Pupil","Administration","501","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","522","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,402","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","1,829","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","3,461","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","1,536","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,518","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Professional Development","431","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Pupil Services","3,080","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Teachers","7,095","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","20,545","Amount"
"2022","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","21,375","Amount"
"2021","02810000","Springfield","Student Enrollment","In-District FTE Pupils","24,078.8","Count"
"2021","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","5,559.2","Count"
"2021","02810000","Springfield","Student Enrollment","Total FTE Pupils","29,638","Count"
"2021","02810000","Springfield","Student Demographics","English learner % Headcount","16.3","Percent"
"2021","02810000","Springfield","Student Demographics","Low-Income % Headcount","81.8","Percent"
"2021","02810000","Springfield","Student Demographics","Student Headcount","24,239","Count"
"2021","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","24.7","Percent"
"2021","02810000","Springfield","Teacher Salaries","Average Teacher Salary","74,010","Amount"
"2021","02810000","Springfield","Teacher Salaries","Teacher FTE","2,096.8","Count"
"2021","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","8.7","Count"
"2021","02810000","Springfield","Other Staff","Instructional Coach FTE","90","Count"
"2021","02810000","Springfield","Other Staff","Instructional Support FTE","144.8","Count"
"2021","02810000","Springfield","Other Staff","Paraprofessional FTE","677.4","Count"
"2021","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","18","Count"
"2021","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","36.2","Percent"
"2021","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","23.8","Percent"
"2021","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","22.4","Percent"
"2021","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","11.3","Percent"
"2021","02810000","Springfield","Expenditures Per Pupil","Administration","441","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","513","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,103","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","2,147","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","3,217","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","1,534","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","1,337","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Professional Development","340","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Pupil Services","2,077","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Teachers","6,442","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","18,642","Amount"
"2021","02810000","Springfield","Expenditures Per Pupil","Total In-District Expenditures","19,152","Amount"
"2020","02810000","Springfield","Student Enrollment","In-District FTE Pupils","24,906.3","Count"
